player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_completed,freekicks_taken,fouls_committed,fouls_suffered,yellow,red,balls_recoverd,tackles,tackles_won,tackles_lost,clearance_attempted,saved,conceded,saved_penalties,cleansheets,punches_made
Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7,483,365,0,0,0,27,0,0,0,0,0,0,0,0,0,61,14,1,5,4
Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133.0,3,4,83,27,8,10,9,3,1,0,0,4,0,0,83.1,451,377,31,19,6,0,13,24,0,1,29,11,3,8,0,0,0,0,0,0
Benzema,Real Madrid,Forward,1106,12,15,1,121.5,2,9,18,45,23,13,9,11,1,3,0,13,2,3,83.1,523,433,20,10,2,4,2,4,0,1,6,1,1,0,10,0,0,0,0,0
Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5,10,0,8,14,5,3,6,0,0,0,0,0,0,0,89.8,799,723,25,12,3,26,3,8,0,1,39,9,3,6,4,0,0,0,0,0
Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4,0,0,0,9,4,5,0,0,0,0,0,0,0,0,87.5,643,563,0,2,0,17,17,16,0,4,76,19,6,13,32,0,0,0,0,0
Alaba,Real Madrid,Defender,1040,12,1,0,112.3,0,0,0,5,1,1,3,0,1,0,0,0,1,0,92.3,657,606,11,17,2,21,9,1,0,1,49,18,12,6,28,0,0,0,0,0
Carvajal,Real Madrid,Defender,959,11,0,1,112.8,0,1,9,5,2,3,0,0,0,0,0,0,0,0,87.3,576,503,34,23,8,11,15,6,0,3,50,12,6,6,30,0,0,0,0,0
Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6,0,0,0,10,2,6,2,0,0,0,0,0,0,0,89.1,538,482,25,4,1,6,17,18,0,3,76,31,13,18,19,0,0,0,0,0
Kroos,Real Madrid,Midfielder,902,12,2,0,116.5,0,0,0,12,7,1,4,1,1,0,0,0,2,0,91.9,814,752,20,34,7,44,7,18,0,0,37,11,5,6,4,0,0,0,0,0
Mendy,Real Madrid,Defender,867,10,0,2,96.3,0,0,8,2,0,2,0,0,0,0,0,0,0,0,91.1,413,376,25,12,3,4,7,7,0,3,36,6,5,1,15,0,0,0,0,0
Valverde,Real Madrid,Midfielder,804,11,0,1,96.7,0,3,10,9,0,4,5,0,0,0,0,0,0,0,85.4,395,336,20,15,3,1,4,5,0,2,29,13,7,6,10,0,0,0,0,0
Nacho,Real Madrid,Defender,574,9,0,0,61.9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,91.0,304,283,16,6,1,5,7,7,0,2,27,10,4,6,14,0,0,0,0,0
Rodrygo,Real Madrid,Forward,505,11,5,2,65.7,1,1,20,23,10,7,6,2,2,1,0,5,0,0,77.6,209,183,38,13,5,3,5,11,0,1,14,2,1,1,3,0,0,0,0,0
Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,83.6,239,207,25,12,3,2,4,8,0,1,13,2,0,2,6,0,0,0,0,0
Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2,0,1,2,2,0,2,0,0,0,0,0,0,0,0,87.7,179,158,0,1,0,7,5,10,0,1,19,17,9,8,6,0,0,0,0,0
Asensio,Real Madrid,Forward,207,8,1,2,28.4,5,0,1,5,3,0,2,0,1,0,0,0,1,0,72.6,89,75,25,4,1,1,2,0,0,0,3,1,0,1,1,0,0,0,0,0
Jović,Real Madrid,Forward,113,3,0,0,12.9,0,0,0,4,1,2,1,0,0,0,0,0,0,0,90.3,40,36,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0
Marcelo,Real Madrid,Defender,93,3,0,0,10.7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,85.0,63,55,33,3,1,1,1,0,0,0,4,0,0,0,3,0,0,0,0,0
E. Hazard,Real Madrid,Forward,84,3,0,0,10.8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Ceballos,Real Madrid,Midfielder,37,5,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0
Mariano Díaz,Real Madrid,Forward,12,1,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallejo,Real Madrid,Defender,8,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
Bale,Real Madrid,Forward,7,2,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanco,Real Madrid,Midfielder,6,1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.7,461,415,0,0,0,16,0,0,0,0,0,0,0,0,0,15,14,0,4,3
Salah,Liverpool,Forward,1008,13,8,2,112.0,0,5,49,42,22,11,9,0,8,0,0,7,1,1,81.2,426,346,9,11,1,1,4,12,0,0,12,0,0,0,0,0,0,0,0,0
Fabinho,Liverpool,Midfielder,849,13,1,0,105.5,0,0,0,5,1,2,2,1,0,0,0,1,0,0,90.3,595,549,0,2,0,9,14,11,0,1,74,23,9,14,8,0,0,0,0,0
Robertson,Liverpool,Defender,826,10,0,2,97.7,27,1,9,5,2,2,1,0,0,0,0,0,0,0,81.1,628,512,25,63,16,22,5,3,0,1,44,4,3,1,14,0,0,0,0,0
Mané,Liverpool,Midfielder,822,13,5,1,100.3,0,9,17,21,8,6,7,2,3,0,0,5,0,0,79.0,278,219,30,10,3,1,16,19,0,2,9,4,1,3,1,0,0,0,0,0
Van Dijk,Liverpool,Defender,810,9,0,1,82.8,0,2,0,6,3,1,2,0,0,0,0,0,0,0,90.7,667,609,0,1,0,10,4,2,0,1,62,3,2,1,29,0,0,0,0,0
Alexander0Arnold,Liverpool,Defender,794,9,0,4,86.8,36,0,9,12,1,6,5,0,0,0,0,0,0,0,80.0,685,556,29,81,24,28,5,6,0,2,51,1,0,1,18,0,0,0,0,0
Konaté,Liverpool,Defender,720,8,2,0,78.5,0,0,0,6,2,3,1,0,0,2,0,2,0,0,89.5,515,465,0,0,0,16,11,3,0,1,53,16,11,5,17,0,0,0,0,0
Henderson,Liverpool,Midfielder,666,12,1,2,85.7,0,0,2,12,4,4,4,1,0,0,0,0,1,0,86.2,602,530,35,17,6,6,10,4,0,0,29,3,1,2,1,0,0,0,0,0
Matip,Liverpool,Defender,630,7,0,0,66.2,0,0,0,5,2,2,1,0,0,0,0,0,0,0,94.2,498,467,0,0,0,14,6,1,0,1,34,5,1,4,15,0,0,0,0,0
Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9,0,0,0,9,3,6,0,1,0,0,0,0,1,0,91.8,553,508,50,2,1,12,5,7,0,1,40,16,11,5,5,0,0,0,0,0
Diogo Jota,Liverpool,Forward,578,11,1,1,73.9,0,4,19,16,7,4,5,0,0,1,0,1,0,0,80.5,234,189,0,1,0,0,11,6,0,2,13,7,2,5,1,0,0,0,0,0
Keïta,Liverpool,Midfielder,487,10,1,2,61.5,0,0,6,14,2,8,4,1,0,0,0,0,1,0,87.9,354,313,0,4,0,5,15,7,0,0,21,8,2,6,7,0,0,0,0,0
Luis Díaz,Liverpool,Forward,385,7,2,1,49.9,0,2,42,0,0,0,0,2,1,1,0,4,0,0,83.8,341,282,18,11,2,0,0,0,0,0,16,8,3,5,2,0,0,0,0,0
Tsimikas,Liverpool,Defender,344,5,0,2,42.7,16,0,4,0,0,0,0,0,0,0,0,0,0,0,78.6,201,165,22,40,9,8,4,8,0,0,26,2,1,1,10,0,0,0,0,0
Firmino,Liverpool,Midfielder,323,7,5,0,43.0,0,0,0,13,5,2,6,3,1,1,0,4,1,0,85.7,176,150,0,0,0,0,4,2,0,0,17,2,1,1,1,0,0,0,0,0
