Player_Name,Club,Position,Total Goals,Total Assists,Penalties,Match_Played,Season,Competition
Niklas Lomb,Bayer 04 Leverkusen,Goalkeeper,0,0,0,0,2024-2025,UCL
Lukáš Hrádecký,Bayer 04 Leverkusen,Goalkeeper,0,0,0,0,2024-2025,UCL
Matej Kovar,Bayer 04 Leverkusen,Goalkeeper,0,0,0,0,2024-2025,UCL
Ben Hawighorst,Bayer 04 Leverkusen,Defence,0,0,0,0,2024-2025,UCL
Othniel Raterink,Bayer 04 Leverkusen,Midfield,0,0,0,0,2024-2025,UCL
Kerim Alajbegović,Bayer 04 Leverkusen,Midfield,0,0,0,0,2024-2025,UCL
Artem Stepanov,Bayer 04 Leverkusen,Centre-Forward,0,0,0,0,2024-2025,UCL
Matija Marsenić,Bayer 04 Leverkusen,Central Midfield,0,0,0,0,2024-2025,UCL
Francis Onyeka,Bayer 04 Leverkusen,Attacking Midfield,0,0,0,0,2024-2025,UCL
Ken Izekor,Bayer 04 Leverkusen,Centre-Forward,0,0,0,0,2024-2025,UCL
Arthur Augusto,Bayer 04 Leverkusen,Right-Back,0,0,0,0,2024-2025,UCL
Jeanuel Belocian,Bayer 04 Leverkusen,Centre-Back,0,0,0,0,2024-2025,UCL
Sadik Fofana,Bayer 04 Leverkusen,Centre-Back,0,0,0,0,2024-2025,UCL
Nathan Tella,Bayer 04 Leverkusen,Right Midfield,0,0,0,0,2024-2025,UCL
Amine Adli,Bayer 04 Leverkusen,Left Winger,0,0,0,0,2024-2025,UCL
Victor Boniface,Bayer 04 Leverkusen,Centre-Forward,0,0,0,0,2024-2025,UCL
Jeremie Frimpong,Bayer 04 Leverkusen,Right Midfield,0,0,0,0,2024-2025,UCL
Piero Hincapié,Bayer 04 Leverkusen,Centre-Back,0,0,0,0,2024-2025,UCL
Edmond Tapsoba,Bayer 04 Leverkusen,Centre-Back,0,0,0,0,2024-2025,UCL
Robert Andrich,Bayer 04 Leverkusen,Defensive Midfield,0,0,0,0,2024-2025,UCL
Aleix García,Bayer 04 Leverkusen,Central Midfield,0,0,0,0,2024-2025,UCL
Florian Wirtz,Bayer 04 Leverkusen,Attacking Midfield,5,1,1,6,2024-2025,UCL
Alejandro Grimaldo,Bayer 04 Leverkusen,Left-Back,0,0,0,0,2024-2025,UCL
Exequiel Palacios,Bayer 04 Leverkusen,Central Midfield,0,0,0,0,2024-2025,UCL
Martin Terrier,Bayer 04 Leverkusen,Left Winger,0,0,0,0,2024-2025,UCL
Nordi Mukiele,Bayer 04 Leverkusen,Right-Back,0,0,0,0,2024-2025,UCL
