Player_Name,Club,Position,Total Goals,Total Assists,Penalties,Match_Played,Season,Competition
Courtois,Real Madrid,Goalkeeper,0,0,0,13,2021-2022,UCL
Vinícius Júnior,Real Madrid,Forward,4,6,0,13,2021-2022,UCL
Benzema,Real Madrid,Forward,15,1,3,12,2021-2022,UCL
Modrić,Real Madrid,Midfielder,0,4,0,13,2021-2022,UCL
Éder Militão,Real Madrid,Defender,0,0,0,12,2021-2022,UCL
Alaba,Real Madrid,Defender,1,0,0,12,2021-2022,UCL
Carvajal,Real Madrid,Defender,0,1,0,11,2021-2022,UCL
Casemiro,Real Madrid,Midfielder,0,0,0,11,2021-2022,UCL
Kroos,Real Madrid,Midfielder,2,0,0,12,2021-2022,UCL
Mendy,Real Madrid,Defender,0,2,0,10,2021-2022,UCL
Valverde,Real Madrid,Midfielder,0,1,0,11,2021-2022,UCL
Nacho,Real Madrid,Defender,0,0,0,9,2021-2022,UCL
Rodrygo,Real Madrid,Forward,5,2,0,11,2021-2022,UCL
Lucas Vázquez,Real Madrid,Midfielder,0,1,0,8,2021-2022,UCL
Camavinga,Real Madrid,Midfielder,0,1,0,10,2021-2022,UCL
Asensio,Real Madrid,Forward,1,2,0,8,2021-2022,UCL
Jović,Real Madrid,Forward,0,0,0,3,2021-2022,UCL
Marcelo,Real Madrid,Defender,0,0,0,3,2021-2022,UCL
E. Hazard,Real Madrid,Forward,0,0,0,3,2021-2022,UCL
Miguel Gutiérrez,Real Madrid,Defender,0,0,0,1,2021-2022,UCL
Ceballos,Real Madrid,Midfielder,0,0,0,5,2021-2022,UCL
Mariano Díaz,Real Madrid,Forward,0,0,0,1,2021-2022,UCL
Vallejo,Real Madrid,Defender,0,0,0,2,2021-2022,UCL
Bale,Real Madrid,Forward,0,0,0,2,2021-2022,UCL
Blanco,Real Madrid,Midfielder,0,0,0,1,2021-2022,UCL
Alisson Becker,Liverpool,Goalkeeper,0,0,0,13,2021-2022,UCL
Salah,Liverpool,Forward,8,2,1,13,2021-2022,UCL
Fabinho,Liverpool,Midfielder,1,0,0,13,2021-2022,UCL
