Player Name,First Name,Last Name,Date of Birth,Nationality,Team Name,Short Name,TLA,Played Matches,Goals,Assists,Penalties
Robert Lewandowski,Robert,Lewandowski,1988-08-21,Poland,FC Barcelona,Barça,FCB,6,7,,1
Sehrou Guirassy,Serhou,Guirassy,1996-03-12,Guinea,Borussia Dortmund,Dortmund,BVB,6,6,2,3
Raphinha,,Raphinha,1996-12-14,Brazil,FC Barcelona,Barça,FCB,6,6,3,
Viktor Gyökeres,Viktor,Gyökeres,1998-06-04,Sweden,Sporting Clube de Portugal,Sporting CP,SPO,6,5,,2
Harry Kane,Harry,Kane,1993-07-28,England,FC Bayern München,Bayern,FCB,5,5,1,3
Florian Wirtz,Florian,Wirtz,2003-05-03,Germany,Bayer 04 Leverkusen,Leverkusen,B04,6,5,1,1
Erling Haaland,Erling,Haaland,2000-07-21,Norway,Manchester City FC,Man City,MCI,6,5,,1
Vinicius Junior,,Vinícius Junior,2000-07-12,Brazil,Real Madrid CF,Real Madrid,RMA,5,5,1,1
Michael Olise,Michael,Olise,2001-12-12,France,FC Bayern München,Bayern,FCB,6,4,1,1
Jamie Bynoe-Gittens,Jamie,Gittens,2004-08-08,England,Borussia Dortmund,Dortmund,BVB,6,4,,
